kreisnr;kreisname;bundesland;einwohner;junge;alte;einkommen;wahlberechtigte;waehler;ungueltige;gueltige;Union;SPD;Gruene;Linke;AFD;FDP;DIEM25;Volt
14628;Sächsische Schweiz-Osterzgebirge;Sachsen;245400;14;34.6;19758;201686;135015;2892;132123;30799;8340;9290;12253;43474;6168;301;605
14713;Leipzig, Stadt;Sachsen;582000;27.1;25.7;17770;454329;279864;3435;276429;44597;29466;55815;41349;42938;11628;2346;3032
14729;Leipzig;Sachsen;258000;13.7;34;20438;213907;132167;2791;129376;34425;12919;10310;13917;32594;5959;288;558
14730;Nordsachsen;Sachsen;197800;14.4;33.4;18980;162384;94874;2376;92498;23747;9423;6276;10022;24682;4357;148;262
15001;Dessau-Roßlau, Stadt;Sachsen-Anhalt;82100;15.1;38.5;19294;66952;36568;855;35713;8288;4400;3754;4936;7303;1789;70;163
15002;Halle (Saale), Stadt;Sachsen-Anhalt;239200;24;30.1;17218;185329;106952;1576;105376;18783;11965;17907;16455;16930;5462;767;931
15003;Magdeburg, Landeshauptstadt;Sachsen-Anhalt;238500;23.4;30.5;18206;188108;102810;1618;101192;19187;14518;14667;15170;16282;4633;508;882
15081;Altmarkkreis Salzwedel;Sachsen-Anhalt;84500;15.3;32;19255;69387;38978;893;38085;9374;5409;3339;6261;6538;1691;91;154
15082;Anhalt-Bitterfeld;Sachsen-Anhalt;161300;14.6;35.9;18669;135013;71810;1918;69892;17381;8225;4537;9948;15784;3256;135;210
15083;Börde;Sachsen-Anhalt;172600;15.2;31.5;19778;142548;76208;1667;74541;19072;10302;5605;9456;15221;3565;157;288
15084;Burgenlandkreis;Sachsen-Anhalt;182000;14.8;35.7;18674;148581;82491;2148;80343;19067;8800;4927;10738;19748;3974;153;280
15085;Harz;Sachsen-Anhalt;216300;14.8;35.9;18785;182756;97920;2386;95534;25449;12593;8722;13942;17109;4079;216;341
15086;Jerichower Land;Sachsen-Anhalt;90500;14.1;33.7;19626;75723;41481;1135;40346;10153;5601;3282;5802;7831;1951;110;147
15087;Mansfeld-Südharz;Sachsen-Anhalt;138000;13.5;37.8;18203;115994;62293;1756;60537;13624;7345;3195;9238;15312;3076;94;194
15088;Saalekreis;Sachsen-Anhalt;185500;14.7;33.4;19664;154510;88276;2323;85953;20518;9383;5886;11362;20915;5243;200;291
15089;Salzlandkreis;Sachsen-Anhalt;192700;14.8;35.6;18207;161192;80658;2206;78452;19223;9814;5326;11589;16992;4147;175;314
15090;Stendal;Sachsen-Anhalt;113200;15.4;33.4;17921;93514;50842;1044;49798;11633;6939;4103;7542;9638;2430;125;203
15091;Wittenberg;Sachsen-Anhalt;126800;14;36.7;19112;106738;61427;1513;59914;14788;7144;4088;7727;13074;2445;103;228
16051;Erfurt, Stadt;Thüringen;213000;22.7;28.5;18601;165664;100731;1571;99160;19563;12136;14636;15662;16668;4677;392;627
16052;Gera, Stadt;Thüringen;94900;16.4;36.9;18891;76771;43716;851;42865;7805;3960;3048;7419;12694;1855;93;148
16053;Jena, Stadt;Thüringen;111100;28.8;26.5;18030;82364;53569;607;52962;8322;6368;10778;8312;6738;3443;408;649
16054;Suhl, Stadt;Thüringen;35200;14.4;40.2;20698;30717;17351;292;17059;4240;1942;1425;3333;3146;553;35;49
16055;Weimar, Stadt;Thüringen;64400;22;29;18635;49921;31461;403;31058;6223;3556;6027;4675;4350;1278;252;242
16056;Eisenach, Stadt;Thüringen;42700;17.7;32.5;19062;33008;19648;321;19327;3874;2435;1998;2876;3873;829;44;70
16061;Eichsfeld;Thüringen;100600;16.3;30.9;19127;80973;53336;947;52389;21896;4317;3850;3782;9786;2226;58;146
16062;Nordhausen;Thüringen;84700;16.9;33.7;17911;69807;41089;799;40290;9332;5373;3015;6489;8992;1799;65;139
16063;Wartburgkreis;Thüringen;123800;14.9;33.2;19832;98890;61889;1352;60537;16902;6564;3966;7787;13890;2320;84;185
16064;Unstrut-Hainich-Kreis;Thüringen;103500;15.6;32.7;18213;84332;50208;1100;49108;13179;5844;3402;6073;11351;2199;68;149
16065;Kyffhäuserkreis;Thüringen;75800;14.6;35.3;17708;63071;37494;1048;36446;8740;4903;1707;5896;8471;1340;42;98
16066;Schmalkalden-Meiningen;Thüringen;123000;15.6;34.3;19992;104428;63880;1457;62423;16264;8279;4357;8220;13894;2463;122;175
16067;Gotha;Thüringen;135500;16;32.6;18780;107910;64606;1417;63189;15259;8949;4762;7840;14384;2462;106;229
16068;Sömmerda;Thüringen;70000;14.7;32.6;18790;57456;35260;838;34422;9593;3093;2087;4687;8493;1501;42;102
16069;Hildburghausen;Thüringen;63900;15.6;32.8;19529;52470;33915;721;33194;8526;3325;1855;4659;8030;1080;40;107
16070;Ilm-Kreis;Thüringen;108800;17.6;33.2;18691;85619;54320;1128;53192;12000;5425;4466;7264;13420;2228;117;218
16071;Weimarer Land;Thüringen;82100;14.7;31.7;19053;66272;43811;960;42851;11837;3720;3236;4958;10449;1958;77;147
16072;Sonneberg;Thüringen;56400;14.6;35.9;19995;48378;27809;526;27283;7146;2596;1696;4045;7206;889;41;72
16073;Saalfeld-Rudolstadt;Thüringen;107400;14.1;36.8;19356;88180;53882;1035;52847;12180;5596;3328;6817;14592;2422;91;161
16074;Saale-Holzland-Kreis;Thüringen;83000;14.5;33.7;18992;68289;45156;1058;44098;11365;3966;3183;6282;10209;2311;94;179
16075;Saale-Orla-Kreis;Thüringen;81500;14.3;34.8;19008;67022;42523;895;41628;10429;3791;2253;5713;11262;1946;67;145
16076;Greiz;Thüringen;99300;12.6;37.7;19502;82940;53220;1153;52067;14559;4859;3031;6427;13297;2288;95;171
16077;Altenburger Land;Thüringen;90700;13;38.5;18822;75863;42953;1052;41901;10674;4582;2298;5664;11371;1641;57;120
