Zulassungsbezirk;Insgesamt;Benzin;Diesel;Gas;Hybrid.insgesamt;Hybrid.Plug-in;Elektro
09477  KULMBACH;48320;31449;16221;378;221;33;42
09478  LICHTENFELS;43456;28953;14085;293;66;24;46
09479  WUNSIEDEL I.FICHTELGEB.;45907;31332;14084;249;190;41;31
09561  ANSBACH,STADT;24716;15314;8940;231;175;34;53
09562  ERLANGEN,STADT;54302;34513;18977;360;348;89;95
09563  FUERTH,STADT;61476;41108;19456;409;390;70;102
09564  NUERNBERG,STADT;242017;153851;84820;1418;1490;262;399
09565  SCHWABACH,STADT;25363;17041;7943;113;217;20;43
09571  ANSBACH;119972;73945;44427;1073;367;83;135
09572  ERLANGEN-HOECHSTADT;88642;55653;31758;602;435;152;169
09573  FUERTH;74702;51101;22734;431;329;59;96
09574  NUERNBERGER LAND;107172;69673;36121;644;551;124;169
09575  NEUSTADT/AISCH-WINDSHEIM;64538;38520;25018;541;313;64;131
09576  ROTH;83454;52063;30356;483;431;60;106
09577  WEISSENBURG-GUNZENHAUSEN;60205;37338;22070;483;198;41;105
09661  ASCHAFFENBURG,STADT;44186;28044;15495;367;189;29;83
09662  SCHWEINFURT,STADT;27745;17040;10118;301;225;50;56
09663  WUERZBURG,STADT;63188;39528;22344;777;406;107;123
09671  ASCHAFFENBURG;114102;73762;38794;929;454;87;143
09672  BAD KISSINGEN;68181;41410;25730;729;180;39;119
09673  RHOEN-GRABFELD;52697;30276;21379;611;201;44;216
09674  HASSBERGE;56489;32744;22853;700;116;33;63
09675  KITZINGEN;59279;36933;21305;610;323;40;95
09676  MILTENBERG;82278;51513;29458;725;506;67;65
09677  MAIN-SPESSART;83188;51219;30548;933;382;80;92
09678  SCHWEINFURT;76271;48847;26040;909;314;71;130
09679  WUERZBURG;103284;66081;35285;1257;476;90;164
09761  AUGSBURG,STADT;134698;88430;43526;1477;1095;156;145
09762  KAUFBEUREN,STADT;23926;15698;7860;203;135;21;28
09763  KEMPTEN(ALLGAEU),STADT;37807;23479;13757;276;222;51;68
09764  MEMMINGEN,STADT;25340;15665;9363;179;99;29;31
09771  AICHACH-FRIEDBERG;83541;53495;28736;722;473;76;104
09772  AUGSBURG;158888;104902;51398;1253;1101;117;202
09773  DILLINGEN A.D.DONAU;62259;39582;21776;520;321;40;44
09774  GUENZBURG;80570;49648;30014;532;273;49;89
09775  NEU-ULM;105901;69656;35115;738;265;61;108
09776  LINDAU (BODENSEE);50696;32710;17371;335;176;35;93
09777  OSTALLGAEU;87786;54951;31494;770;403;75;151
