StadtID;Einwohner;Haushaltseinkommen;Bruttoverdienst;Medianeinkommen;Medianeinkommen Frauen;Medianeinkommen Männer;Medianeinkommen Diffferenz
ID 16063;125655;1549,1;2234,5;2244;1953;2347;394
ID 16064;105273;1458,9;1987,9;2044;1881;2095;214
ID 16065;77110;1416,4;2075,3;2182;2226;2158;-68
ID 16066;124623;1549,7;2058,6;2130;1967;2195;228
ID 16067;136831;1477,4;2148,5;2229;2014;2335;321
ID 16068;70600;1491,3;2027,9;2101;1843;2195;352
ID 16069;64524;1558,2;2030,9;2046;1860;2118;258
ID 16070;109620;1477;2161,8;2295;2095;2355;260
ID 16071;82127;1516,4;2122,9;2144;2076;2167;91
ID 16072;56818;1584,4;2026,1;2140;1954;2229;275
ID 16073;109278;1531,4;2140,1;2245;2039;2328;289
ID 16074;86184;1540,9;2067,9;2098;2011;2134;123
ID 16075;82951;1532;1965,3;2047;1780;2130;350
ID 16076;101114;1562,9;2022;2033;1924;2079;155
ID 16077;92344;1482,1;1973,8;2001;1901;2035;134
